Country,earliest_report,date_local,imported_local,method_surveillance,Source
Cyprus,2020-12-20,,0,travellers,https://cyprus-mail.com/2021/01/03/coronavirus-new-fast-spreading-british-strain-found-in-cyprus/
Thailand,2021-01-03,,0,travellers,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/01/03/thailand-finds-new-strain-of-covid-19-from-uk-in-four-britons
Greece,2021-01-03,,0,travellers,https://www.keeptalkinggreece.com/2021/01/03/covid19-mutated-strain-greece-travelers-uk/#.X_IT0OugNCg.twitter
Jamaica,2020-12-21,,0,travellers,https://www.thestkittsnevisobserver.com/new-corona-strain-arrives-in-jamaica-on-last-uk-flight/
Austria,2021-01-04,,0,,https://www.sn.at/panorama/wissen/live-corona-mutationen-sind-in-oesterreich-angekommen-97891537
Iran,2021-01-05,,0,travellers,https://www.jpost.com/breaking-news/iran-finds-first-case-of-new-virus-variant-in-traveler-from-uk-654329
Philippines,2020-12-22,,1,,https://cnnphilippines.com/news/2021/1/6/Hong-Kong-detects-UK-COVID-19-variant-from-Manila-outbound-passenger-.html
Oman,2021-01-05,,0,travellers,https://www.reuters.com/article/us-health-coronavirus-oman-idUSKBN29A1G9
Romania,2021-01-08,2021-01-08,1,community_sequencing,https://www.barrons.com/news/romania-confirms-first-case-of-new-uk-virus-strain-01610126705?tesla=y
Slovakia,2021-01-05,2021-01-05,1,community_sequencing,https://spectator.sme.sk/c/22567045/new-strain-of-coronavirus-from-the-uk-confirmed-in-slovakia.html
Russia,2021-01-10,,0,travellers,https://www.rferl.org/a/russia-confirms-first-case-of-new-coronavirus-strain/31041057.html
